user_id,motivation_type,frequency_tier,openness,conscientiousness,extraversion,agreeableness,neuroticism,hardiness,confidence,locus_of_control,fa_score,fb_score,preferred_session_duration,organizing_openness,leadership_inclination,max_travel_distance,weekly_activity_target,pushes_through_discomfort,preferred_group_size,acquaintance_preference,enjoys_meeting_new_people,activity_vs_social,motivated_by_competition,planning_horizon,feels_like_burden,age,gender,latitude,longitude,geo_cluster,user_cluster,preferred_activities,preferred_skills,availability_days,availability_times,participation_groups
2866,casual_recreational,sparse,0.9107,0.4176,0.309,0.6771,0.4282,0.8624,0.5156,0.6265,0.605,0.5269,65,0,3,19,3,4,5,2,2,4,3,3,3,61,2,45.789508,16.055993,2,0,"12,1","3,1","0,1,2,3,4,5,6","0,1,2,3","0,1,2"
2867,social,regular,0.8708,0.4427,0.6511,0.8158,0.5518,0.2909,0.4874,0.6922,0.4176,0.6488,81,2,3,19,4,4,9,1,4,2,3,2,3,32,3,45.856884,15.959284,1,2,"25,6,15,21","0,3,0,2","0,1,2,3,4,5,6","0,1,2,3","2,3"
2868,unmotivated,sparse,0.5438,0.3282,0.3474,0.6002,0.8827,0.1473,0.8359,0.5588,0.1813,0.2697,94,0,2,2,3,2,4,0,2,4,4,2,4,19,3,45.763075,15.984805,3,2,10,1,"1,2,3,4,5,6","0,1,2,3","0,1,2"
2869,competitive,occasional,0.8337,0.8464,0.7719,0.5245,0.1451,0.7613,0.7228,0.6448,0.8106,0.7227,67,2,5,36,6,4,7,3,4,4,4,4,1,26,3,45.845762,15.959089,1,0,"14,12,22","1,1,3","1,4,5","0,2,3","2,3"
2870,social,frequent,0.3834,0.3756,0.8759,0.8643,0.17,0.3514,0.5712,0.6834,0.3912,0.7616,91,2,5,26,3,2,10,3,4,4,4,2,2,56,1,45.766498,15.979434,3,2,13,1,"0,1,2,3,4,5,6","0,1,2,3","2,3"
2871,casual_recreational,sparse,0.9097,0.6677,0.5511,0.5903,0.3846,0.4637,0.5892,0.6251,0.5867,0.545,77,1,3,26,5,4,5,3,3,3,4,4,2,34,1,45.804262,15.881441,4,1,"15,14","2,0","0,1,2,3,4,5,6","0,1,2,3",2
2872,competitive,sparse,0.5287,0.5024,0.213,0.1184,0.4525,0.8684,0.62,0.2514,0.5672,0.2682,93,0,2,17,4,4,3,2,2,4,2,3,3,42,2,45.8139,15.895825,4,1,"14,24","2,2","0,1,2,4,5,6","0,1,2,3","0,1,2"
2873,casual_recreational,regular,0.9331,0.5792,0.2786,0.7241,0.2354,0.9025,0.6227,0.343,0.7923,0.4963,63,0,2,36,5,4,5,4,1,4,4,4,2,59,0,45.858039,15.952249,1,1,"10,13,17","3,1,1","0,1,2,3,4,5,6","0,1,2,3","0,1,2"
2874,competitive,regular,0.8331,0.4845,0.6116,0.3151,0.1717,0.5916,0.4215,0.782,0.5743,0.5194,95,1,4,40,4,3,6,3,3,2,4,3,2,34,2,45.808959,15.887152,4,1,"14,24","2,3","0,1,2,3,4,6","0,1,2,3","2,3"
2875,casual_recreational,occasional,0.9373,0.4307,0.5602,0.5405,0.353,0.577,0.4717,0.7387,0.5075,0.5769,84,1,4,34,4,3,7,2,3,3,3,3,3,32,0,45.79997,16.037272,2,1,"20,2,4","1,3,0","0,3,5","0,1,2","2,3"
2876,casual_recreational,regular,0.5457,0.4585,0.4905,0.3224,0.1797,0.5153,0.4267,0.3328,0.5351,0.527,98,1,3,29,4,3,7,3,3,2,3,3,1,50,0,45.791602,15.903277,4,1,"21,24,2,8","3,2,0,0","0,1,2,3,4,5,6","0,1,2,3","1,2,3"
2877,casual_recreational,sparse,0.6664,0.6462,0.6096,0.68,0.3859,0.5734,0.8183,0.3696,0.6633,0.6831,83,1,3,25,5,4,7,3,4,5,3,4,3,42,0,45.84155,15.983026,0,0,"27,9,26","0,1,3","0,1,2,4,5,6","0,1,2,3","2,3"
2878,casual_recreational,occasional,0.7564,0.306,0.5719,0.6132,0.2186,0.5012,0.6228,0.4182,0.5146,0.6832,97,1,4,25,3,3,8,3,2,1,4,3,2,61,1,45.827397,15.984448,0,1,5,1,"0,1,3,4,5,6","0,1,2,3","1,2,3"
2879,competitive,regular,0.6401,0.4074,0.6019,0.4795,0.2478,0.7153,0.4162,0.3192,0.5578,0.6481,88,1,3,37,4,3,7,3,2,3,3,2,2,45,2,45.744315,15.987289,3,1,"30,9","2,2","0,1,3,4,6","0,1,2,3","0,2,3"
2880,casual_recreational,sparse,0.9115,0.2834,0.3002,0.7322,0.2071,0.4018,0.4594,0.7564,0.444,0.6052,91,0,3,34,3,1,6,3,2,2,4,2,1,27,3,45.805006,16.039681,2,2,26,2,"0,3,5","1,2,3","0,1,2"
2881,competitive,regular,0.5122,0.8727,0.4457,0.1919,0.0865,0.6313,0.5023,0.6455,0.8054,0.6418,57,1,3,39,7,4,7,4,3,3,3,4,2,39,0,45.825756,15.901382,4,0,7,2,"0,1,2,3,4,5,6","0,1,2,3","1,2,3"
2882,casual_recreational,occasional,0.6978,0.6893,0.3167,0.5655,0.5748,0.5931,0.5577,0.7802,0.5826,0.3736,78,0,3,17,4,4,5,1,3,5,4,4,3,31,3,45.843119,15.943268,1,1,"22,8,18,2","2,3,2,0","0,1,2,3,4,5,6","0,1,2,3","0,1,2"
2883,casual_recreational,regular,0.595,0.1364,0.7438,0.3096,0.2761,0.5313,0.3108,0.4836,0.2827,0.6176,111,2,4,21,3,2,9,3,4,3,3,1,2,38,1,45.74572,15.977299,3,2,"16,25","0,1","1,3,6","0,2,3","2,3"
2884,casual_recreational,regular,0.76,0.3971,0.6342,0.4536,0.159,0.4171,0.9013,0.2264,0.4254,0.713,107,1,3,29,4,3,7,3,3,5,3,2,2,39,2,45.828288,15.982599,0,2,24,3,"1,2,3","0,1,3","2,3"
2885,casual_recreational,regular,0.6187,0.5992,0.658,0.6529,0.4878,0.5188,0.3832,0.5754,0.5525,0.5439,87,2,3,21,4,3,7,3,4,4,3,4,3,60,0,45.736615,15.976369,3,1,"2,4","1,3","2,3,5,6","0,1,2,3","2,3"
2886,competitive,regular,0.9274,0.8518,0.4436,0.2157,0.1858,0.7548,0.3438,0.7901,0.8027,0.4757,68,1,2,37,5,4,4,3,3,3,2,5,2,36,1,45.818918,15.889258,4,1,"12,19,11,8","1,0,0,0","0,1,2,3,4,5","0,1,2,3","1,2"
2887,unmotivated,sparse,0.5558,0.546,0.3418,0.6708,0.7217,0.2652,0.3694,0.4921,0.4529,0.3972,100,0,2,9,4,3,4,0,3,2,3,4,4,28,1,45.850881,15.960701,1,2,"21,9,18,29","2,0,1,0","1,2,3,4","0,1,2,3","0,1,2"
2888,competitive,frequent,0.3563,0.3998,0.3902,0.4339,0.2406,0.6659,0.7451,0.6418,0.4831,0.5514,92,1,3,36,3,3,5,3,3,3,4,3,1,27,1,45.843581,15.963921,1,2,"23,30,15,29","0,3,2,2","0,1,2,3,4,5","0,1,2,3","1,2"
2889,competitive,regular,0.7764,0.8822,0.7762,0.2173,0.2938,0.7226,0.56,0.6606,0.9139,0.6107,91,2,4,27,6,4,8,3,4,5,3,5,2,57,3,45.862488,15.951369,1,0,"30,19,1,5","1,2,0,1","0,2,3,4,5,6","0,1,2,3","2,3"
2890,competitive,frequent,0.8331,0.8325,0.3637,0.4196,0.475,0.7143,0.4006,0.5877,0.7633,0.519,76,1,3,30,5,4,4,2,3,2,2,4,3,35,3,45.75115,15.979909,3,0,18,3,"2,3,4,5,6","0,1,2,3","1,2"
2891,unmotivated,occasional,0.2688,0.2377,0.2194,0.4783,0.9253,0.4099,0.7267,0.5912,0.2195,0.2693,80,0,1,11,2,2,4,1,2,2,4,2,4,33,3,45.750627,15.956113,3,2,27,1,"0,1,2,3,5,6","0,1,2,3","0,1,2"
2892,social,occasional,0.7571,0.4023,0.7152,0.917,0.1659,0.8455,0.8073,0.7798,0.6673,0.749,93,2,4,43,3,4,7,4,3,4,4,2,2,35,2,45.805632,15.881457,4,0,"30,25,15","0,0,2","0,1,2,3,4,5,6","0,1,2,3","2,3"
2893,social,occasional,0.7523,0.2231,0.8238,0.7557,0.1615,0.7708,0.789,0.3775,0.5097,0.8843,56,2,4,45,2,3,10,3,5,5,4,2,2,47,2,45.829222,15.881906,4,1,"30,18","0,0","1,3,4,5","0,1,2,3","2,3"
2894,unmotivated,occasional,0.2715,0.3307,0.2475,0.645,0.8507,0.0979,0.4902,0.5568,0.2151,0.2476,98,0,2,11,3,2,3,0,3,1,3,2,5,63,3,45.742619,15.973894,3,2,"24,18","1,3","2,4,6","0,2,3","0,1,2"
2895,competitive,regular,0.475,0.4908,0.3003,0.3401,0.0632,0.8338,0.6849,0.4184,0.734,0.5884,63,0,3,46,4,3,4,3,2,2,3,3,1,58,0,45.808833,15.977101,0,0,"30,11,21,26","1,1,1,3","0,2,6","0,1,2","0,1,2"
2896,unmotivated,sparse,0.5969,0.44,0.1892,0.5807,0.9285,0.357,0.7174,0.6955,0.2593,0.2922,68,0,2,7,4,3,4,0,2,2,4,2,4,26,0,45.802053,15.87794,4,2,8,3,"0,1,2,3,5,6","0,1,2,3","0,1,2"
2897,casual_recreational,occasional,0.9015,0.2556,0.5929,0.7027,0.1379,0.243,0.5549,0.5885,0.4375,0.709,115,1,3,29,2,2,6,3,3,3,4,2,2,52,2,45.769467,15.963206,3,2,"8,14","0,3","0,2,3,5,6","0,1,2,3",2
2898,social,frequent,0.7494,0.6729,0.8886,0.7504,0.0667,0.6332,0.3524,0.4223,0.6633,0.927,106,2,4,45,5,4,10,4,4,5,2,3,1,56,3,45.735466,15.985421,3,0,"22,19,4","1,0,2","1,2,4,5,6","0,1,2,3","0,2,3"
2899,casual_recreational,occasional,0.7507,0.2581,0.5526,0.6411,0.445,0.5668,0.2571,0.5499,0.5511,0.586,74,1,3,22,2,2,6,3,3,3,2,2,3,30,0,45.78584,15.964568,0,1,7,2,"0,1,2,3,4,6","0,1,2,3",2
2900,casual_recreational,sparse,0.7691,0.4038,0.7336,0.7518,0.0459,0.5024,0.3717,0.4512,0.4988,0.951,79,2,4,42,3,3,6,3,4,4,3,2,1,24,3,45.751003,15.974996,3,2,"15,8","3,0","0,1,2,3,4,5","0,1,2,3","2,3"
2901,unmotivated,occasional,0.5711,0.165,0.1773,0.6397,0.9687,0.0946,0.3863,0.7587,0.0396,0.3685,60,0,2,10,2,2,3,0,2,1,4,2,4,60,0,45.747073,15.976481,3,2,1,0,"0,1,3,4","0,1,2,3","0,1,2"
2902,competitive,frequent,0.4952,0.9384,0.2855,0.5251,0.4296,0.6774,0.6528,0.4416,0.8665,0.4993,46,0,1,26,7,4,4,2,2,3,3,4,3,36,3,45.813519,15.980799,0,1,"2,1,3","1,2,2","1,2,3,4,6","0,1,2,3","0,1,2"
2903,unmotivated,regular,0.3586,0.2553,0.1199,0.4778,0.9038,0.436,0.8307,0.3957,0.2461,0.167,86,0,2,9,3,2,2,0,1,1,3,1,4,56,0,45.80854,15.879631,4,2,"30,29,17,4","1,2,3,0","0,2,3,5,6","0,1,2,3","0,1,2"
2904,casual_recreational,sparse,0.9285,0.0704,0.6462,0.5914,0.4488,0.626,0.6374,0.6803,0.2978,0.5864,101,1,4,28,2,2,7,2,4,3,4,1,3,22,2,45.754576,15.963739,3,2,"6,19","3,1","1,2,3,5,6","0,1,2,3","2,3"
2905,social,frequent,0.531,0.3829,0.6552,0.6728,0.2561,0.7184,0.6058,0.7072,0.5919,0.7145,107,2,3,30,3,4,8,3,4,3,3,3,3,38,1,45.815411,15.882821,4,1,"17,26,12","3,0,0","0,1,2,3,4,5,6","0,1,2,3","2,3"
2906,unmotivated,occasional,0.3021,0.1742,0.6666,0.5417,0.5997,0.1195,0.7623,0.7562,0.2217,0.5411,73,2,5,5,2,1,8,1,4,5,5,2,3,40,1,45.824867,15.987408,0,2,"6,28,7","1,3,3","0,1,2,3,4,5,6","0,1,2,3","2,3"
2907,competitive,frequent,0.513,0.6678,0.757,0.276,0.2672,0.6989,0.3569,0.5635,0.702,0.473,81,2,3,36,5,4,9,2,4,2,2,4,2,31,0,45.797665,16.046886,2,1,"12,27,4,23","2,2,2,3","0,1,2,3,5,6","0,1,2,3","2,3"
2908,unmotivated,sparse,0.3965,0.2781,0.1467,0.7735,0.6083,0.0793,0.5417,0.5995,0.2677,0.3472,71,0,1,16,3,1,2,1,3,3,3,2,3,21,3,45.745354,15.963894,3,2,"3,12","3,3","0,1,3,4","0,1,2,3","0,1,2"
2909,social,sparse,0.7646,0.1572,0.8535,0.8664,0.4154,0.1744,0.5873,0.8055,0.2444,0.7649,84,2,4,16,2,1,9,2,4,4,5,1,3,47,3,45.816593,15.892258,4,2,1,2,"0,1,2,3,4,5,6","0,1,2,3","2,3"
2910,social,regular,0.6449,0.1791,0.8743,0.4832,0.5037,0.5538,0.7618,0.6251,0.3128,0.6945,115,2,4,21,1,2,7,2,4,5,4,2,3,17,3,45.799497,15.974827,0,2,27,1,"0,1,2,3,4,5,6","0,1,2,3","2,3"
2911,competitive,regular,0.9396,0.8871,0.6152,0.2601,0.0685,0.6133,0.6036,0.7213,0.7961,0.6587,107,1,4,38,6,4,8,4,4,3,4,4,1,22,1,45.781996,16.053185,2,0,"29,18,20","1,1,1","1,3,4","0,2,3","2,3"
2912,casual_recreational,sparse,0.5639,0.2107,0.5849,0.6671,0.4623,0.3012,0.7384,0.7134,0.3111,0.6589,60,1,4,24,3,2,6,2,3,4,4,2,3,32,2,45.821431,15.994403,0,2,21,3,"0,3,4,5,6","0,1,2,3",2
2913,social,frequent,0.6663,0.7952,0.8931,0.66,0.3081,0.428,0.6935,0.8334,0.7178,0.7979,94,2,5,28,6,4,8,3,4,5,4,4,2,46,3,45.807339,15.899088,4,0,"13,25,21,1","2,2,3,1","1,4,6","1,2,3","2,3"
2914,casual_recreational,sparse,0.7691,0.7348,0.8121,0.9786,0.2028,0.8445,0.5449,0.4817,0.7818,0.8786,74,2,5,39,6,4,10,3,3,3,3,4,2,58,2,45.798381,16.03618,2,0,28,3,"0,1,3,4","0,1,2,3","2,3"
2915,casual_recreational,regular,0.8025,0.5394,0.3954,0.6323,0.2604,0.6342,0.5002,0.8719,0.6025,0.6402,91,1,3,44,4,3,4,3,3,5,3,3,3,45,2,45.798478,16.047239,2,0,"14,3","0,1","0,2,6","0,1,3","0,1,2"
2916,casual_recreational,occasional,0.7568,0.5493,0.4549,0.7419,0.4907,0.8951,0.5224,0.1612,0.6818,0.4994,96,1,3,33,5,4,6,2,3,1,2,4,3,22,1,45.811303,15.9658,0,1,"27,18","1,2","0,1,4,6","0,1,2,3","1,2"
2917,unmotivated,occasional,0.3476,0.184,0.0807,0.6559,0.8016,0.1008,0.6508,0.7134,0.1201,0.3059,75,0,1,12,2,2,3,0,1,3,4,2,4,20,0,45.797553,15.968365,0,2,"5,17","3,3","1,2,5,6","0,1,2,3","0,1,2"
2918,competitive,regular,0.5325,0.875,0.5459,0.4726,0.4645,0.8838,0.8537,0.5677,0.7304,0.521,52,1,4,28,6,5,7,1,4,3,4,5,3,32,2,45.852867,15.947523,1,0,"15,7","2,3","0,1,2,3,4,5,6","0,1,2,3","1,2,3"
2919,social,regular,0.6333,0.4155,0.8628,0.7833,0.4034,0.5028,0.7514,0.6083,0.4034,0.7473,76,2,5,30,4,2,8,2,5,5,5,1,3,31,2,45.750237,15.982395,3,2,"11,5","2,3","0,1,2,3,5,6","0,1,2,3","2,3"
2920,unmotivated,sparse,0.296,0.3188,0.0487,0.6376,0.6601,0.2082,0.0611,0.5232,0.2229,0.3552,61,0,2,11,2,2,2,2,1,1,3,3,3,51,3,45.76668,15.967131,3,2,"23,24,26","2,1,0","1,2,3,4,5","0,1,2,3","0,1,2"
2921,competitive,frequent,0.7317,0.7552,0.5103,0.5168,0.275,0.755,0.4875,0.5056,0.7634,0.5645,79,1,3,27,6,4,6,2,4,4,3,4,2,20,1,45.815894,15.950862,0,0,"17,16,20,30","0,0,3,3","0,1,2,3,4,5,6","0,1,2,3","1,2"
2922,casual_recreational,sparse,0.9195,0.2657,0.5311,0.558,0.4437,0.6688,0.4099,0.6455,0.4266,0.4602,119,1,3,28,2,3,5,3,3,2,3,2,3,62,2,45.804365,16.047581,2,2,"8,1,7,10","0,2,0,1","0,1,2,3,4,5,6","0,1,2,3","1,2"
2923,social,occasional,0.7821,0.2634,0.9901,0.9028,0.4841,0.8432,0.3809,0.8683,0.4279,0.7888,120,2,4,29,3,3,10,2,5,3,3,2,3,49,1,45.759996,15.973208,3,2,15,1,"0,1,2,3,4,5,6","0,1,2,3","2,3"
2924,competitive,frequent,0.7599,0.7167,0.2904,0.5101,0.1986,0.5832,0.6303,0.448,0.6534,0.5067,78,0,1,33,5,3,4,4,2,3,3,4,2,45,3,45.855969,15.945978,1,0,"13,4,24","0,3,2","0,1,2,3,4,5,6","0,1,2,3","0,1,2"
2925,social,sparse,0.525,0.5036,0.5758,0.7036,0.4672,0.4561,0.5132,0.6901,0.5482,0.6151,73,1,3,9,4,3,7,2,3,2,3,3,3,45,3,45.81513,15.880037,4,1,12,3,"0,1,2,3,4,5,6","0,1,2,3","2,3"
2926,social,regular,0.4242,0.3036,0.7316,0.7852,0.1991,0.6063,0.8739,0.6869,0.5178,0.7223,75,2,4,35,3,2,6,4,4,4,4,2,2,38,3,45.75319,15.96034,3,1,12,2,"0,1,2,3,4,5,6","0,1,2,3","2,3"
2927,social,sparse,0.7636,0.5552,0.5649,0.7894,0.4382,0.5183,0.3097,0.7955,0.4345,0.5817,81,1,3,20,4,3,8,2,2,1,3,4,3,51,0,45.816663,15.892866,4,2,18,3,"1,2,3,5,6","0,1,2,3","2,3"
2928,casual_recreational,sparse,0.5693,0.6928,0.4978,0.6624,0.3127,0.8243,0.7159,0.5319,0.6706,0.5083,79,1,3,39,5,4,7,2,4,2,4,4,2,55,1,45.812818,15.89115,4,0,"19,4,9,20","0,2,0,0","2,4,5,6","0,1,2,3","1,2,3"
2929,social,regular,0.6416,0.5944,0.8543,0.7827,0.5455,0.5727,0.7248,0.6574,0.587,0.7188,84,2,4,18,5,4,9,2,5,3,3,3,4,61,3,45.784311,16.046481,2,1,8,0,"0,1,2,3,4,5,6","0,1,2,3","2,3"
2930,social,regular,0.6132,0.4531,0.9988,0.8617,0.207,0.3404,0.7565,0.5375,0.5483,0.8696,103,2,5,21,4,3,9,3,5,5,4,3,1,17,3,45.869131,15.94757,1,1,"9,0,13,23","2,0,3,3","0,1,2,4,5,6","0,1,2,3","2,3"
2931,casual_recreational,occasional,0.8383,0.3431,0.5274,0.8441,0.616,0.5991,0.4151,0.6173,0.4106,0.5415,77,1,4,16,3,4,6,1,2,3,3,2,3,55,3,45.750124,15.98232,3,2,"0,9,10","0,2,3","0,1,2,4,5,6","0,1,2,3","0,1,2"
2932,social,regular,0.6207,0.2454,0.95,0.8596,0.4118,0.6746,0.3719,0.5908,0.432,0.756,78,2,5,24,2,3,10,3,4,4,3,3,3,30,0,45.805872,15.963601,0,2,"15,21","3,2","0,3,4,6","0,1,2,3","2,3"
2933,unmotivated,occasional,0.476,0.2854,0.3257,0.5168,0.8216,0.2522,0.5948,0.6103,0.2993,0.3176,65,0,2,17,3,2,5,1,2,1,4,2,3,36,1,45.811191,15.89009,4,2,12,0,"1,2,3,4,5,6","0,1,2,3","0,1,2"
2934,social,frequent,0.544,0.3974,0.6779,0.9523,0.5034,0.633,0.662,0.4567,0.6253,0.7453,82,2,4,21,3,2,9,1,4,4,4,2,3,57,3,45.792144,15.87987,4,0,12,1,"0,1,2,3,4,5,6","0,1,2,3","1,2,3"
2935,casual_recreational,sparse,0.8646,0.5565,0.6998,0.4685,0.3174,0.2592,0.6063,0.711,0.4932,0.4873,81,2,4,27,5,3,8,2,4,4,4,4,2,42,0,45.741668,15.967453,3,2,"11,15","3,2","0,1,2,4,6","0,1,2,3","2,3"
2936,casual_recreational,occasional,0.9039,0.1376,0.4761,0.9014,0.391,0.867,0.4268,0.6919,0.4649,0.6611,107,1,3,35,1,3,7,2,3,2,3,2,3,51,1,45.755331,15.991129,3,2,"21,6,20","0,3,3","0,1,2,3,5","0,1,2,3","1,2,3"
2937,competitive,regular,0.5192,0.5592,0.5284,0.3062,0.46,0.7727,0.4835,0.6774,0.6048,0.4694,75,1,3,36,4,4,7,1,3,5,3,4,2,55,0,45.854178,15.935385,1,1,"21,26,10,9","0,2,1,1","1,2,3,4,6","0,1,2,3","1,2,3"
2938,casual_recreational,regular,0.8026,0.5646,0.5156,0.8843,0.1744,0.5732,0.588,0.6522,0.6467,0.7234,70,1,3,20,5,3,5,3,3,1,4,3,2,62,3,45.752694,15.975184,3,0,"27,28","3,1","1,3,4","1,2,3","1,2"
2939,competitive,regular,0.4836,0.9505,0.5185,0.2146,0.0385,0.583,0.3871,0.5599,0.8325,0.5613,78,1,3,37,7,4,6,4,4,3,3,5,1,35,2,45.735989,15.983711,3,0,15,2,"0,1,2,4,6","0,1,2,3","1,2"
2940,unmotivated,occasional,0.3682,0.3219,0.2248,0.5791,0.884,0.3176,0.8274,0.5967,0.2775,0.3797,94,0,2,12,3,3,5,1,1,2,3,2,5,30,1,45.803074,16.038945,2,2,"30,1","2,0","1,2,3,5,6","0,1,2,3","0,1,2"
2941,casual_recreational,occasional,0.6725,0.4588,0.3786,0.6288,0.6066,0.1876,0.7645,0.4981,0.4617,0.4798,55,1,2,9,4,3,4,2,3,5,2,2,3,44,3,45.8682,15.956915,1,2,"2,5,24,7","0,3,3,1","0,1,2,3,4,5,6","0,1,2,3","1,2"
2942,social,regular,0.4827,0.2749,0.5277,0.8064,0.5609,0.697,0.4145,0.6025,0.2943,0.6234,75,1,3,23,3,2,5,2,3,4,2,2,3,55,2,45.856708,15.955305,1,2,"12,2","2,2","1,2,4","0,1,2","1,2"
2943,casual_recreational,regular,0.7209,0.8045,0.596,0.5775,0.3383,0.426,0.7127,0.5046,0.6492,0.6272,93,1,3,28,6,3,6,2,3,3,4,5,2,29,0,45.754379,15.973508,3,0,"14,5,27,15","1,1,0,0","0,1,2,4,5,6","0,1,2,3",2
2944,casual_recreational,occasional,0.8924,0.4508,0.3893,0.2973,0.4156,0.3083,0.4271,0.6471,0.428,0.4225,105,1,2,23,4,3,5,3,2,1,4,3,3,64,3,45.805705,15.891984,4,2,"18,27,11","3,0,1","0,1,2,3,4,5,6","0,1,2,3","1,2"
2945,casual_recreational,occasional,0.6934,0.7034,0.6514,0.7899,0.602,0.6753,0.7968,0.5322,0.4901,0.6543,101,2,4,23,5,4,8,2,4,3,3,5,4,17,2,45.786383,16.053993,2,2,"13,15","3,1","0,1,2,3,4,5,6","0,1,2,3","2,3"
2946,casual_recreational,sparse,0.9035,0.3939,0.3842,0.7529,0.3094,0.4343,0.6942,0.6218,0.466,0.5785,111,1,3,43,4,3,4,2,4,2,3,3,3,19,0,45.819663,15.891593,4,2,"11,22,2,3","2,0,2,1","0,1,2,3,4,5,6","0,1,2,3","1,2"
2947,social,regular,0.6994,0.2695,0.6778,0.9096,0.3547,0.5418,0.3647,0.8474,0.4265,0.7434,84,2,3,26,2,3,8,3,4,4,4,3,3,34,0,45.809222,15.880382,4,2,"15,21","3,1","0,1,2,3,4,5,6","0,1,2,3","2,3"
2948,unmotivated,sparse,0.5521,0.3378,0.4955,0.6798,0.813,0.0163,0.5057,0.6205,0.2177,0.4932,76,1,3,12,3,2,6,0,3,1,3,2,4,36,0,45.741091,15.973668,3,2,20,3,"0,2,3,4,5,6","0,1,2,3","1,2"
2949,unmotivated,occasional,0.1491,0.244,0.1358,0.6858,0.4992,0.0613,0.4129,0.5014,0.2775,0.4059,82,0,2,21,2,1,3,1,1,2,2,3,3,20,3,45.859604,15.941191,1,2,"21,30,9","2,3,0","0,1,2,3,4,5,6","0,1,2,3","0,1,2"
2950,casual_recreational,occasional,0.4068,0.8161,0.7007,0.8299,0.3338,0.284,0.7538,0.8005,0.6531,0.7133,81,2,4,28,6,3,8,2,5,3,5,4,2,25,2,45.822684,15.878375,4,0,"2,23,3,20","3,1,0,1","0,1,2,5,6","0,1,2,3","2,3"
2951,social,occasional,0.752,0.3938,0.711,0.6603,0.3827,0.4796,0.5948,0.4375,0.4256,0.5958,80,2,3,29,3,3,8,2,4,5,3,3,2,50,2,45.864277,15.950739,1,2,"10,29,17,19","2,2,1,0","0,2,4,6","0,1,2,3","2,3"
2952,competitive,occasional,0.9092,0.6452,0.6018,0.5565,0.378,0.9351,0.7912,0.3657,0.6442,0.5832,88,1,4,34,4,4,7,2,4,4,4,3,3,36,1,45.760846,15.978863,3,0,"25,26","2,2","0,1,3,4","0,1,2,3","2,3"
2953,unmotivated,sparse,0.2709,0.0237,0.2108,0.8328,0.7013,0.3765,0.5956,0.7153,0.1228,0.4237,104,0,2,14,2,2,3,1,1,2,4,1,3,59,3,45.749022,15.973313,3,2,"13,27,22","0,1,2","1,3,4,6","0,1,2,3","0,1,2"
2954,casual_recreational,regular,0.7683,0.3653,0.5074,0.7659,0.1457,0.8399,0.6687,0.5125,0.6554,0.7016,92,1,2,28,3,4,7,4,4,3,3,1,2,50,3,45.824576,15.990217,0,0,11,1,"0,4,6","0,1,2","1,2,3"
2955,casual_recreational,occasional,0.7509,0.6468,0.6789,0.4574,0.5731,0.5351,0.4,0.5642,0.5707,0.6003,61,2,4,15,5,3,7,3,3,4,3,4,3,51,0,45.799377,15.992464,0,1,"6,29,11","3,3,1","0,1,2,3,4,5,6","0,1,2,3","2,3"
2956,casual_recreational,sparse,0.7419,0.6968,0.3266,0.4686,0.2779,0.5356,0.6628,0.597,0.5715,0.4871,66,0,2,31,6,2,3,3,2,3,4,3,2,16,3,45.839386,15.948805,1,1,"10,13,16","1,1,1","0,1,2,3,4,5,6","0,1,2,3","0,1,2"
2957,competitive,regular,0.9212,0.6131,0.6286,0.6589,0.0703,0.6645,0.5646,0.7722,0.7281,0.6965,93,1,3,23,5,4,7,4,4,4,4,4,1,48,2,45.804172,16.044417,2,0,"30,25","2,1","0,2,3,4,5,6","0,1,2,3","2,3"
2958,casual_recreational,frequent,0.7292,0.514,0.7807,0.5855,0.4113,0.3614,0.7435,0.6111,0.4812,0.7025,98,2,4,24,4,3,8,2,3,4,3,4,3,21,0,45.811474,15.988068,0,2,4,1,"0,3,5,6","0,1,2,3","2,3"
2959,unmotivated,occasional,0.5104,0.5837,0.039,0.5884,0.836,0.3965,0.4579,0.4211,0.429,0.2531,58,0,1,10,4,3,3,1,1,1,3,3,4,25,1,45.810359,15.882721,4,2,"9,14","3,1","0,1,2,4,5,6","0,1,2,3","0,1,2"
2960,social,occasional,0.6401,0.6158,0.9434,0.891,0.4764,0.6117,0.5062,0.6288,0.6249,0.851,104,2,5,22,4,3,10,2,5,4,3,3,3,21,2,45.807315,15.898434,4,0,20,3,"0,1,2,3,4,5,6","0,1,2,3","2,3"
2961,unmotivated,occasional,0.3584,0.0826,0.373,0.6429,0.6084,0.2735,0.6225,0.5002,0.1324,0.4734,80,1,3,12,2,2,4,3,2,4,4,1,3,29,2,45.797053,16.051796,2,2,"1,13,20,27","3,0,3,0","0,1,2,3,4,5,6","0,1,2,3","1,2"
2962,competitive,frequent,0.6759,0.8374,0.3341,0.6751,0.2321,0.7445,0.7963,0.6954,0.8291,0.5495,74,0,3,34,7,4,6,3,2,3,4,4,2,39,0,45.862401,15.955168,1,0,17,0,"1,3,5","0,1,2","0,1,2"
2963,social,frequent,0.3453,0.2743,0.9319,0.5063,0.1932,0.6806,0.5195,0.488,0.4872,0.8067,97,2,5,40,2,3,9,3,4,5,3,2,1,61,1,45.789909,16.053507,2,2,"28,18,23,22","2,0,3,3","0,2,3,4","0,1,2,3","2,3"
